Ngày,Kênh,Mã SKU,Số lượng,Thành tiền
01/06/2026,Facebook,SKU-01,1,320000
01/06/2026,Shopee,SKU-02,1,250000
02/06/2026,Facebook,SKU-01,1,320000
02/06/2026,Shopee,SKU-02,1,250000
03/06/2026,Facebook,SKU-01,1,320000
03/06/2026,Facebook,SKU-03,1,180000
04/06/2026,Facebook,SKU-01,1,320000
04/06/2026,Facebook,SKU-03,1,180000
05/06/2026,Facebook,SKU-01,1,320000
05/06/2026,Facebook,SKU-03,1,180000
06/06/2026,Facebook,SKU-01,1,320000
06/06/2026,Facebook,SKU-03,1,180000
07/06/2026,Facebook,SKU-01,1,320000
07/06/2026,Shopee,SKU-03,1,180000
08/06/2026,Facebook,SKU-01,1,320000
08/06/2026,Shopee,SKU-03,1,180000
09/06/2026,Facebook,SKU-01,1,320000
09/06/2026,Shopee,SKU-03,1,180000
10/06/2026,Facebook,SKU-01,1,320000
10/06/2026,Shopee,SKU-03,1,180000
11/06/2026,Facebook,SKU-01,1,320000
12/06/2026,Facebook,SKU-01,1,320000
13/06/2026,Shopee,SKU-01,1,320000
14/06/2026,Shopee,SKU-01,1,320000
15/06/2026,Shopee,SKU-01,1,320000
16/06/2026,Shopee,SKU-01,1,320000
17/06/2026,Shopee,SKU-01,1,320000
18/06/2026,Shopee,SKU-01,1,320000
19/06/2026,Shopee,SKU-01,1,320000
20/06/2026,Shopee,SKU-01,1,320000
21/06/2026,Facebook,SKU-02,1,250000
22/06/2026,Facebook,SKU-02,1,250000
23/06/2026,Facebook,SKU-02,1,250000
24/06/2026,Facebook,SKU-02,1,250000
25/06/2026,Facebook,SKU-02,1,250000
26/06/2026,Facebook,SKU-02,1,250000
27/06/2026,Facebook,SKU-02,1,250000
28/06/2026,Facebook,SKU-02,1,250000
29/06/2026,Shopee,SKU-02,1,250000
30/06/2026,Shopee,SKU-02,1,250000
